Unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,GWP_unit1,GWP_unit2,lifetime,land_use_1,land_use_2,mine_res_1,mine_res_2,water_res_1,water_res_2,energy_res_1,energy_res_2,Human_toxicity_1,Human_toxicity_2,water_pollutants_1,water_pollutants_2,metals_water_1,metals_water_2,pop_water_1,pop_water_2,metals_soil_1,metals_soil_2,pollutants_pm_1,pollutants_pm_2,Metal_air_1,Metal_air_2,ozone_depletion_1,ozone_depletion_2
NG_Boiler,0.1,100000,5000,180,0.0001,46.06,20,0.0001,405.94,0.0001,15970,0.0001,27393.4,0.0001,1934.6,0.0001,14170,0.0001,1457.3,0.0001,14323,0.0001,6066.4,0.0001,175.22,0.0001,30440,0.0001,70436,0.0001,14.49
OIL_Boiler,0.1,100000,3500,200,0.0001,46.06,20,0.0001,405.94,0.0001,15970,0.0001,27393.4,0.0001,1934.6,0.0001,14170,0.0001,1457.3,0.0001,14323,0.0001,6066.4,0.0001,175.22,0.0001,30440,0.0001,70436,0.0001,14.49
WOOD_Stove,0.1,100000,2000,100,0.0001,41.21,20,0.0001,290.17,0.0001,5797,0.0001,319.42,0.0001,2098.89,0.0001,15452.22,0.0001,1338.78,0.0001,13307.78,0.0001,328.19,0.0001,306.84,0.0001,24442.22,0.0001,13572.22,0.0001,22.31
LTL_WOOD_Stove,0.1,100000,271,96,0.0001,4,20,0.0001,1,0.0001,2,0.0001,3,0.0001,5,0.0001,6,0.0001,7,0.0001,8,0.0001,9,0.0001,10,0.0001,11,0.0001,12,0.0001,13
APALA_stove,0.1,100000,4578,120,0.0001,51.78,20,0.0001,1823.51,0.0001,2738.86,0.0001,281.57,0.0001,2907.42,0.0001,2843.93,0.0001,3803.21,0.0001,2746.31,0.0001,866.17,0.0001,1248.12,0.0001,16328.78,0.0001,4840.8,0.0001,46.68
HeatPump_Air,0.1,100000,6000,1500,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
HeatPump_Lake,0.1,100000,6000,1500,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
HeatPump_Geothermal,0.1,100000,10000,2000,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
HeatPump_DHN,0.1,100000,6000,1500,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
HeatPump_Anergy,0.1,100000,6000,1500,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
Air_Conditioner_Air,0.1,100000,3000,1000,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
Air_Conditioner_DHN,0.1,100000,3000,1000,0.0001,138.05,20,0.0001,465.5,0.0001,9231,0.0001,408.05,0.0001,2269.9,0.0001,19625,0.0001,1844.9,0.0001,15324,0.0001,281.5,0.0001,172,0.0001,53793,0.0001,249160,0.0001,2093.8
ElectricalHeater_SH,0.1,100000,1000,50,0.0001,1.41,20,0.0001,1009.64,0.0001,653.58,0.0001,6.2,0.0001,57.07,0.0001,306.78,0.0001,27.76,0.0001,709.44,0.0001,5.84,0.0001,4.01,0.0001,961.14,0.0001,827.88,0.0001,0.47
ElectricalHeater_DHW,0.1,100000,2000,200,0.0001,1.41,20,0.0001,1009.64,0.0001,653.58,0.0001,6.2,0.0001,57.07,0.0001,306.78,0.0001,27.76,0.0001,709.44,0.0001,5.84,0.0001,4.01,0.0001,961.14,0.0001,827.88,0.0001,0.47
PV,0.1,100000,5000,2000,0.0001,393.56,20,0.0001,1636.35,0.0001,112420,0.0001,2538.2,0.0001,9551,0.0001,63095,0.0001,7347,0.0001,44102,0.0001,1409.25,0.0001,2571.4,0.0001,152920,0.0001,68795,0.0001,112.36
ThermalSolar,0.1,100000,3500,600,0.0001,146.21,20,0.0001,1615.5,0.0001,88308.75,0.0001,875.91,0.0001,6126.13,0.0001,43506.25,0.0001,8997.25,0.0001,32705,0.0001,787.5,0.0001,507.51,0.0001,121527.5,0.0001,425437.5,0.0001,75.4
LTL_ThermalSolar,0.1,100000,963.75,323.75,0.0001,102.81,20,0.0001,10383.44,0.0001,21507.84,0.0001,1020.27,0.0001,7561.96,0.0001,10886.62,0.0001,5470.62,0.0001,13562.6,0.0001,1018.81,0.0001,1870.88,0.0001,57771.4,0.0001,90629.62,0.0001,87.29
NG_Cogeneration,0.1,100000,8000,1000,200,100,20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Battery,0.1,100,500,1000,0.0001,102.78,15,0.0001,1009.6352,0.0001,34297.59,0.0001,775.66,0.0001,5081.47,0.0001,433819.4,0.0001,4434.53,0.0001,33071.08,0.0001,532.95,0.0001,1189.08,0.0001,80578.68,0.0001,297402.84,0.0001,75.28
WaterTankSH,0.1,100000,700,2000,0.0001,1206.51,20,0.0001,14995.6,0.0001,256278.2,0.0001,1689221.7,0.0001,53431.65,0.0001,410268.9,0.0001,37544.94,0.0001,346140.9,0.0001,5850.34,0.0001,5713.4,0.0001,724295.7,0.0001,301401.6,0.0001,450.43
WaterTankDHW,0,100000,300,4000,0.0001,1206.51,20,0.0001,14995.6,0.0001,256278.2,0.0001,1689221.7,0.0001,53431.65,0.0001,410268.9,0.0001,37544.94,0.0001,346140.9,0.0001,5850.34,0.0001,5713.4,0.0001,724295.7,0.0001,301401.6,0.0001,450.43
DataHeat_SH,0.1,100000,1000,5000,0.0001,1650,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DataHeat_DHW,0.1,100000,1000,11000,0.0001,1650,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DHN_hex_in,0.01,100000,184.0,197.0,0.0001,0.01,50,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DHN_hex_out,0.01,100000,184.0,197.0,1.0E-4,0.01,20,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4
DHN_pipes,0.01,100000,1.0E-4,1.0E-4,1.0E-4,0.01,50,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4
